skew_confidence,distance_closest_building,road_area,car_area,car_area_quantile,road_area_quantile,abs_slope_diff_huber,skew_confidence_quantile,distance_closest_building_quantile
10,13.28569939827715,161090,142251.5,D9,D3,0.746397264,D3,D9
18,8.747751499494534,145867,134908,D9,D3,0.045326749,D4,D3
10,10.673521136098756,246383,63154.5,D5,D8,0.6296032088033787,D3,D7
7,9.191284728,217755,47546.5,D4,D6,0.087318507,D2,D4
31,7.659841732823423,125643.5,84840,D6,D2,3.0488443695977474,D6,D2
12,9.339772869,205283,105133.5,D7,D5,0.23126971795669315,D3,D4
14,14.56641069160779,236769,30052,D3,D7,0.064981089,D4,D10
46,8.808309369681838,187786.5,158397,D9,D4,1.630509223,D8,D3
1,6.882290599278557,168390.5,14087.5,D2,D3,0.9849757824682983,D1,D1
10,18.25152953240154,332851,21252,D3,D10,1.425314859097172,D3,D10
8,12.556673829719434,300975.5,39119.5,D4,D10,0.6429057913070579,D2,D9
5,12.208395276924614,272058.5,56451.5,D5,D9,0.20370640489875064,D2,D9
108,10.68359113884843,294929.5,1034,D1,D10,0.1827184237472511,D10,D7
80,6.092607411135474,192671,158747.5,D9,D5,0.8146084731426442,D9,D1
61,12.703148912401304,151139,191116.5,D10,D3,0.7973506883907074,D8,D9
90,10.97475870480694,282223.5,2550.5,D2,D9,0.9450367462103789,D9,D7
88,5.906719564776806,86845,52043,D4,D1,0.38060920226408046,D9,D1
21,12.526877108321877,191495.5,152652.5,D9,D5,0.087009138,D5,D9
1,12.74626038335008,345920.5,3149,D2,D10,1.258274105622554,D1,D9
5,24.22868913195753,362178,14310,D2,D10,0.8094224363738272,D2,D10
141,8.540392128202416,192402,10232,D2,D5,0.6513193623862349,D10,D3
20,14.22231617,289810.5,46324.5,D4,D10,0.7546923489005186,D5,D10
12,9.481625759677264,183041,119717.5,D8,D4,0.3842500439256076,D3,D5
37,9.625395993621302,275681.5,17695.5,D3,D9,0.2160019935416398,D7,D5
28,11.40555788257774,290324.5,45579.5,D4,D10,0.18496618581177682,D6,D8
15,11.229525356420847,268856.5,82344,D6,D9,0.5014426767076059,D4,D7
7,11.340437135954245,309860.5,166,D1,D10,0.30264467237590165,D2,D7
1,12.771891348347053,22834,5298,D2,D1,0.2225404253138843,D1,D9
67,10.43082241,217138.5,81580.5,D6,D6,1.419737887389236,D9,D6
7,9.212123956669243,201948,73249,D6,D5,0.755040209,D2,D4
116,9.279675492295912,205089.5,90370.5,D6,D5,0.15906997301485015,D10,D4
47,9.887471318219868,171902,112082,D8,D4,0.3764061164302042,D8,D5
18,10.494643149188168,215624.5,83221.5,D6,D6,0.21103962413261235,D4,D6
169,8.911572068609422,275220,99,D1,D9,0.048534233,D10,D3
3,9.514689734862824,142927,45904,D4,D2,0.096691673,D1,D5
8,14.892208555669916,197305,49498,D4,D5,0.10280778857425199,D2,D10
8,14.829499584566552,365899.5,642.5,D1,D10,0.16669138090305224,D2,D10
44,10.272878526895749,241792.5,16149.5,D2,D8,0.063213161,D7,D6
54,10.95212783853456,255285.5,23328.5,D3,D8,0.7883049583139872,D8,D7
6,11.283008470603695,230279,86263,D6,D7,0.065606892,D2,D7
14,12.086213542729634,202305.5,159940.5,D9,D5,1.429120950725787,D4,D9
70,4.686265539594114,230785,0,D1,D7,0.8483169209968556,D9,D1
25,9.903078443996362,311875,66757,D5,D10,0.3267072799676838,D5,D5
91,8.022118924,225866,32673.5,D3,D7,0.9774538671253327,D9,D2
5,13.460617356171172,238189,65952,D5,D7,0.1541253581650488,D2,D10
229,7.986803174214644,238250,20041,D3,D7,0.294931972,D10,D2
36,12.443669200955387,187560,175189,D10,D4,1.9478179468023822,D7,D9
48,11.921072303366808,244070.5,325.5,D1,D8,0.8555062398439751,D8,D8
95,7.367328690832584,203574.5,129940.5,D8,D5,0.15926661242535634,D10,D2
17,11.733338349892737,266381.5,18317,D3,D9,0.076178254,D4,D8
27,9.241425791059868,173138,138124.5,D9,D4,0.5883815875449139,D6,D4
7,6.728148228026292,10289,106786.5,D7,D1,1.133511684800789,D2,D1
11,11.638548911204117,149292,96375,D7,D3,0.038737825,D3,D8
6,8.334592600708007,104401.5,111463.5,D8,D2,0.837409739,D2,D3
23,9.848185153145565,343932,10660,D2,D10,1.684377168425295,D5,D5
40,10.964601839509427,241416,37518.5,D4,D8,3.7123264978548782,D7,D7
93,5.820442729634682,248626,125318,D8,D8,0.045654909045666325,D10,D1
13,9.347118997355704,90389,213809,D10,D1,0.4211630342360842,D3,D4
76,12.644196128486026,204998,54902,D5,D5,1.670788619403093,D9,D9
75,6.789613404931612,150307.5,5846,D2,D3,0.6780903516748022,D9,D1
12,18.465204416249826,301506.5,16773,D3,D10,1.3297706321128768,D3,D10
99,12.228291644379008,350636.5,0,D1,D10,0.9455173392285582,D10,D9
21,12.375117670916984,152867,155695.5,D9,D3,0.6496288646152562,D5,D9
48,3.8355664843685098,85263,234910,D10,D1,0.015311371071319302,D8,D1
6,9.357916316218162,130871.5,16100,D2,D2,0.6385586715571137,D2,D4
86,8.870478178215107,170761,114601,D8,D4,0.1445057804235297,D9,D3
50,3.344666906281172,99224,255916,D10,D1,0.5076408866987192,D8,D1
1,13.109551929781231,15820,2349,D2,D1,0.6797312378691687,D1,D9
32,9.392871111039849,277019.5,87029,D6,D9,0.28494769084879606,D6,D4
12,8.664598596973375,198923,71634,D5,D5,0.26989518172560456,D3,D3
168,11.076919919565258,218361.5,109187,D7,D6,0.4370047405139944,D10,D7
21,8.693472865474646,168850.5,40569.5,D4,D3,0.091403382,D5,D3
22,12.033356189570402,250479,11912,D2,D8,0.072752328,D5,D9
