post_huber,GT,slope_30m,slope_diff_huber,slope_diff_30m,difference_1m_estimated,difference_1m_estimated_abs,difference_1m_30m,difference_1m_30m_abs
0.675545823,1.1855807530005509,3.865142292423705,0.5100349295416419,-2.679561539,0.5100349295416419,0.5100349295416419,-2.679561539,2.679561539423154
2.1073920064337566,1.1336533947553262,3.896227565676738,-0.973738612,-2.762574171,-0.973738612,0.9737386116784303,-2.762574171,2.762574170921412
0.7513022398324848,0.8359093709574408,0.7290952307138505,0.084607131,0.10681414024359026,0.084607131,0.084607131,0.10681414024359026,0.10681414024359026
1.7813446318084025,0.6006000669165492,5.976037274827275,-1.180744565,-5.375437208,-1.180744565,1.1807445648918533,-5.375437208,5.375437207910727
0.4958666630221467,0.4318850593470723,0.8189915079511026,-0.063981604,-0.387106449,-0.063981604,0.063981604,-0.387106449,0.3871064486040304
1.7438682918439259,0.5438315539056623,0.6198878312017088,-1.200036738,-0.076056277,-1.200036738,1.2000367379382637,-0.076056277,0.076056277
1.466991995261866,0.8237667198605845,5.887599352381644,-0.643225275,-5.063832633,-0.643225275,0.6432252754012815,-5.063832633,5.063832632521059
1.3595657459224917,0.25464307140332504,0.27667088929404005,-1.104922675,-0.022027818,-1.104922675,1.1049226745191667,-0.022027818,0.022027817890715007
0.8661523876800681,0.86644933,1.236921187162731,0.000296942,-0.370471857,0.000296942,0.000296942,-0.370471857,0.370471857
0.42123096396532034,1.3872770048839267,0,0.9660460409186064,1.3872770048839267,0.9660460409186064,0.9660460409186064,1.3872770048839267,1.3872770048839267
1.6733015668052822,1.1787570257941895,4.183983610939187,-0.494544541,-3.005226585,-0.494544541,0.4945445410110927,-3.005226585,3.0052265851449973
1.753358504295754,1.0912482056088504,1.0853424214201646,-0.662110299,0.005905784,-0.662110299,0.6621102986869036,0.005905784,0.005905784
0.4959347599814697,0.2517033734630738,6.016326478885066,-0.244231387,-5.764623105,-0.244231387,0.24423138651839588,-5.764623105,5.764623105421992
0.4673951407676224,0.006470597,0.5219590356805439,-0.460924544,-0.515488439,-0.460924544,0.4609245441912107,-0.515488439,0.5154884391041322
0.2928547847372139,1.0612699752085992,1.103758614677039,0.7684151904713854,-0.042488639,0.7684151904713854,0.7684151904713854,-0.042488639,0.042488639
1.2576421192119231,1.7095424734677922,4.192825584785242,0.45190035425586905,-2.483283111,0.45190035425586905,0.45190035425586905,-2.483283111,2.4832831113174496
0.8387994976718752,0.950155303,1.6584220404335066,0.11135580492247077,-0.708266738,0.11135580492247077,0.11135580492247077,-0.708266738,0.7082667378391606
1.4871518062017306,1.2896497248014684,1.5120895167369215,-0.197502081,-0.222439792,-0.197502081,0.19750208140026215,-0.222439792,0.22243979193545305
0.27984789314096953,0.269584903,1.2783010618926196,-0.01026299,-1.008716159,-0.01026299,0.010262989845141512,-1.008716159,1.0087161585967916
1.174744251595514,1.1936041504762733,0.7329310110167668,0.018859899,0.4606731394595065,0.018859899,0.018859899,0.4606731394595065,0.4606731394595065
2.2242774964501484,0.7726610547140712,0.6436915777580408,-1.451616442,0.12896947695603045,-1.451616442,1.451616441736077,0.12896947695603045,0.12896947695603045
0.9589403283058576,0.22708684081450062,1.0524468393992574,-0.731853487,-0.825359999,-0.731853487,0.731853487,-0.825359999,0.8253599985847568
0.7652305441287904,0.21078907547326362,0.246056519,-0.554441469,-0.035267444,-0.554441469,0.5544414686555268,-0.035267444,0.035267444
0.4984692354801428,0.7102295720345365,0.7185231549218708,0.2117603365543937,-0.008293583,0.2117603365543937,0.2117603365543937,-0.008293583,0.008293583
5.464930077061744,1.942198269336724,1.2674217728058992,-3.522731808,0.6747764965308247,-3.522731808,3.5227318077250205,0.6747764965308247,0.6747764965308247
0.6883774774932556,0.8084950209187504,0.5811508483768763,0.12011754342549474,0.2273441725418741,0.12011754342549474,0.12011754342549474,0.2273441725418741,0.2273441725418741
0.5600615867291225,0.087752256,0.11773816352958925,-0.47230933,-0.029985907,-0.47230933,0.47230933024199817,-0.029985907,0.029985907042464857
1.2132841708195314,1.4253885862661562,1.2867447815500532,0.21210441544662473,0.13864380471610294,0.21210441544662473,0.21210441544662473,0.13864380471610294,0.13864380471610294
1.059732576344644,1.4773393192916977,1.7564729073505885,0.4176067429470538,-0.279133588,0.4176067429470538,0.4176067429470538,-0.279133588,0.27913358805889077
1.0669917263128104,0.7549271721169131,0.5838881052350519,-0.312064554,0.1710390668818612,-0.312064554,0.3120645541958973,0.1710390668818612,0.1710390668818612
1.5767423984775875,0.8661167484348586,1.0750225363004526,-0.71062565,-0.208905788,-0.71062565,0.7106256500427288,-0.208905788,0.208905788
2.6269512012593377,1.4724535379082988,0.6413600223570411,-1.154497663,0.8310935155512577,-1.154497663,1.1544976633510389,0.8310935155512577,0.8310935155512577
0.9117052815799338,0.9961665968485311,1.4798619498007959,0.084461315,-0.483695353,0.084461315,0.084461315,-0.483695353,0.48369535295226473
2.538756379183497,0.4807611789728138,0.5028784335623903,-2.0579952,-0.022117255,-2.0579952,2.057995200210683,-0.022117255,0.022117254589576474
1.0797098324208307,0.6224076023498762,0.284593153,-0.45730223,0.33781444957745727,-0.45730223,0.4573022300709545,0.33781444957745727,0.33781444957745727
1.1978602889159702,0.7690269252257832,3.0406257531833134,-0.428833364,-2.271598828,-0.428833364,0.428833364,-2.271598828,2.271598828
0.092569866,1.0888854236438843,2.0409534508762524,0.9963155574969556,-0.952068027,0.9963155574969556,0.9963155574969556,-0.952068027,0.952068027
0.3847514787359979,0.17350555564483944,0.3204157634373808,-0.211245923,-0.146910208,-0.211245923,0.21124592309115847,-0.146910208,0.14691020779254138
0.4762752698538487,0.7428133969199104,0.6150722448601527,0.2665381270660617,0.12774115205975778,0.2665381270660617,0.2665381270660617,0.12774115205975778,0.12774115205975778
0.5404959188701852,0.29991210177859284,0.4551011563147617,-0.240583817,-0.155189055,-0.240583817,0.24058381709159238,-0.155189055,0.15518905453616888
0.8299227888477345,0.24280356954444693,0.43514400974435047,-0.587119219,-0.19234044,-0.587119219,0.5871192193032876,-0.19234044,0.19234044019990354
2.2403717199510575,1.1312536948116438,0.9133454663392072,-1.109118025,0.21790822847243663,-1.109118025,1.1091180251394137,0.21790822847243663,0.21790822847243663
1.0869777502976603,0.11632160346649155,0.17982752286689666,-0.970656147,-0.063505919,-0.970656147,0.9706561468311687,-0.063505919,0.063505919
2.1086156015324415,0.1119101502744017,0.12377034734861787,-1.996705451,-0.011860197,-1.996705451,1.9967054512580398,-0.011860197,0.011860197074216178
1.580324734193928,1.3518784552651888,1.283008232388076,-0.228446279,0.068870223,-0.228446279,0.22844627892873914,0.068870223,0.068870223
0.096718627,0.8952906974299774,0.502697826,0.7985720706776711,0.3925928711729334,0.7985720706776711,0.7985720706776711,0.3925928711729334,0.3925928711729334
1.8236653619678485,0.4226580477038734,0.6374605814435212,-1.401007314,-0.214802534,-1.401007314,1.4010073142639752,-0.214802534,0.21480253373964786
1.6576005545291697,0.47815017357292416,0.7407718865092549,-1.179450381,-0.262621713,-1.179450381,1.1794503809562455,-0.262621713,0.2626217129363307
0.2994477662898088,0.067764552,0.00945116,-0.231683214,0.058313392,-0.231683214,0.2316832144015196,0.058313392,0.058313392
1.3566755178371608,0.9861309331643564,0.6445241038670759,-0.370544585,0.3416068292972805,-0.370544585,0.3705445846728044,0.3416068292972805,0.3416068292972805
0.41565943,0.036819414,0.1857166991669619,-0.378840015,-0.148897285,-0.378840015,0.3788400153172211,-0.148897285,0.148897285
2.1397087536292814,1.9845087517152935,1.854259999968709,-0.155200002,0.13024875174658446,-0.155200002,0.15520000191398786,0.13024875174658446,0.13024875174658446
1.6183500782562843,1.473593396671606,0,-0.144756682,1.473593396671606,-0.144756682,0.14475668158467836,1.473593396671606,1.473593396671606
1.7686697276199042,0.937230438,0.8730636532962791,-0.83143929,0.064166785,-0.83143929,0.8314392895721942,0.064166785,0.064166785
0.1314568953575935,0.4847204053225463,5.661388374054151,0.3532635099649528,-5.176667969,0.3532635099649528,0.3532635099649528,-5.176667969,5.176667968731604
0.5220640152208642,1.7374898909126506,2.1705750424725228,1.2154258756917864,-0.433085152,1.2154258756917864,1.2154258756917864,-0.433085152,0.43308515155987215
1.4993406246109173,0.602818518,0.9767534039968677,-0.896522106,-0.373934886,-0.896522106,0.8965221064907544,-0.373934886,0.37393488587670476
1.4900310079085544,0.5229848987644837,0.5355131286994899,-0.967046109,-0.01252823,-0.967046109,0.9670461091440706,-0.01252823,0.01252823
0.2239316126589681,0.7768791195311772,0.2976797328619707,0.5529475068722091,0.4791993866692065,0.5529475068722091,0.5529475068722091,0.4791993866692065,0.4791993866692065
2.3389983056122037,0.9822828683852293,2.1266743329841646,-1.356715437,-1.144391465,-1.356715437,1.3567154372269745,-1.144391465,1.1443914645989355
1.3604248215198582,1.1737288817558444,1.4982822629374761,-0.18669594,-0.324553381,-0.18669594,0.18669593976401377,-0.324553381,0.3245533811816317
2.396305694836624,1.735026001244721,1.413853532910142,-0.661279694,0.3211724683345789,-0.661279694,0.6612796935919032,0.3211724683345789,0.3211724683345789
2.1536915875890794,0.9353504662310616,0.6925292413527472,-1.218341121,0.24282122487831437,-1.218341121,1.218341121358018,0.24282122487831437,0.24282122487831437
0.5098261051622651,0.49119331023718116,0.47998167431853456,-0.018632795,0.011211636,-0.018632795,0.018632794925083962,0.011211636,0.011211636
0.5005187534234047,0.49256393444708424,0.4259086915438756,-0.007954819,0.066655243,-0.007954819,0.007954819,0.066655243,0.066655243
3.239927941322268,1.6136272879449371,3.923852629850044,-1.626300653,-2.310225342,-1.626300653,1.6263006533773308,-2.310225342,2.310225341905107
1.1414564276076902,0.5222563176831407,0.4192841372902876,-0.61920011,0.10297218039285316,-0.61920011,0.6192001099245494,0.10297218039285316,0.10297218039285316
3.0695474182851488,1.867864119524612,4.2976480300263376,-1.201683299,-2.429783911,-1.201683299,1.2016832987605368,-2.429783911,2.4297839105017256
1.0665676461162334,0.8425181422117163,0.7695501085916997,-0.224049504,0.072968034,-0.224049504,0.22404950390451717,0.072968034,0.072968034
0.7086558082258287,0.609119251,0.43668941321385235,-0.099536557,0.1724298379182927,-0.099536557,0.099536557,0.1724298379182927,0.1724298379182927
1.1550838308925067,0.34319235633233036,3.1889407262507437,-0.811891475,-2.84574837,-0.811891475,0.8118914745601763,-2.84574837,2.845748369918413
1.211049175278302,0.6017551910504338,0.508641292,-0.609293984,0.093113899,-0.609293984,0.6092939842278681,0.093113899,0.093113899
1.2543274045817754,1.2763140267162403,1.1878096925700183,0.021986622134464895,0.088504334,0.021986622134464895,0.021986622134464895,0.088504334,0.088504334
1.7968387135906703,1.6256859454741353,1.1680514072056047,-0.171152768,0.4576345382685305,-0.171152768,0.17115276811653501,0.4576345382685305,0.4576345382685305
0.5759298929689399,0.43952507382876765,0.7913065997857508,-0.136404819,-0.351781526,-0.136404819,0.13640481914017227,-0.351781526,0.35178152595698314
0.8409425447195403,0.8522152689117268,0.8079217498762049,0.011272724,0.044293519,0.011272724,0.011272724,0.044293519,0.044293519
0.37920433988348135,0.2957471057016416,1.537565997509449,-0.083457234,-1.241818892,-0.083457234,0.083457234,-1.241818892,1.2418188918078072
