edge_id,post_huber,GT,slope_30m_deg,adjusted_angle_abs,pano_pitch,slope_diff_huber,slope_diff_30m
1,1.2972020014486856,0.5418839828751534,3.0362530226907727,1.2972020014486856,0.1492767333984375,-0.7553180185735322,-2.494369039815619
2,1.5597780571797601,1.2341955817534744,2.175041594437888,1.5597780571797601,1.6137339274088542,-0.3255824754262857,-0.9408460126844136
3,1.95867772681918,1.5513875505954546,4.639053700871574,1.95867772681918,-2.197709655761719,-0.4072901762237253,-3.087666150276119
4,0.5117461498423984,0.11692642088297038,3.869869329865518,0.5117461498423984,0.08703104654947917,-0.394819728959428,-3.7529429089825475
5,2.5848195957146243,2.4846852100780166,2.133170500283828,2.5848195957146243,-4.776059468587239,-0.1001343856366077,0.35151470979418864
9,1.6858202731607845,1.1887446504260282,1.0004741960301955,1.6858202731607845,1.7636388142903645,-0.49707562273475636,0.18827045439583268
10,1.7961161381433937,1.2827426689059824,1.941517029885998,1.7961161381433937,-2.0457107543945314,-0.5133734692374112,-0.6587743609800156
16,1.969665430440624,1.4030513938930902,3.905018757954019,2.170233758940752,0.3115921020507812,-0.5666140365475338,-2.501967364060929
21,0.6699894888274437,0.2488539031462693,4.650007635390412,0.6699894888274437,-0.2397346496582031,-0.4211355856811744,-4.4011537322441425
29,1.2376952187312393,0.6598136820724516,2.5193161684622285,1.2376952187312393,0.8563028971354166,-0.5778815366587877,-1.8595024863897769
36,2.1912314633747587,1.688222587659157,4.510600745030639,2.3501155699506553,0.641080682927912,-0.5030088757156017,-2.822378157371482
38,2.6848046852796554,0.23363538391519253,2.1959567502138695,2.6848046852796554,0.22962443033854166,-2.451169301364463,-1.962321366298677
40,0.38575169580459345,1.0080273519881386,3.8566288724545785,0.38575169580459345,-1.41796875,0.6222756561835452,-2.84860152046644
43,0.553873482201901,0.621399159755795,8.719443941465597,0.553873482201901,-1.9287948608398438,0.06752567755389394,-8.098044781709802
50,1.031259354500258,1.3851154369737804,3.1718975157406515,1.031259354500258,0.28246307373046875,0.3538560824735224,-1.7867820787668711
57,1.8270269107150046,0.4639968507016694,5.910547145157636,1.8270269107150046,-2.3386815388997397,-1.3630300600133352,-5.446550294455967
58,1.115557095081602,0.5004627463879929,15.317389470015863,1.115557095081602,-1.6458765665690105,-0.6150943486936091,-14.81692672362787
60,1.9304815431176108,1.5538377801109453,13.194900254783484,1.9304815431176108,-1.7733383178710938,-0.37664376300666547,-11.641062474672538
66,2.5987722254954067,2.3911551698881452,7.3227689368433735,2.5987722254954067,-2.9328994750976562,-0.2076170556072614,-4.931613766955229
71,1.1663431068517884,0.9954013967468465,3.9714015748679654,1.8402605070559885,1.3756986345563615,-0.17094171010494197,-2.9760001781211187
73,4.128192444759936,1.6164819447614363,6.211083617063267,4.128192444759936,-1.4669303894042969,-2.5117104999984994,-4.59460167230183
82,1.1874899830714756,0.8525354004909683,2.535267291243105,1.3880838977699088,-1.034014892578125,-0.33495458258050725,-1.6827318907521365
85,1.5103127215934087,0.3313914029126284,5.124184723495901,1.5103127215934087,-0.7854639689127604,-1.1789213186807803,-4.7927933205832725
97,1.532893979652479,0.13745568104829217,3.7677692816845636,1.532893979652479,-0.046651204427083336,-1.3954382986041869,-3.6303136006362715
103,1.8776623281581086,1.3063083680461474,6.000344901798448,1.8776623281581086,0.5174598693847656,-0.5713539601119613,-4.6940365337523
107,1.113541150647716,0.4030983718253816,3.7508815175920165,1.2066897847782927,-1.0108141217912947,-0.7104427788223344,-3.347783145766635
114,1.4165799656230877,0.5423581059256963,5.2771264634924,1.4165799656230877,-0.5369923909505209,-0.8742218596973914,-4.734768357566704
123,2.195689700864879,0.24182547496959275,5.845551115494139,2.195689700864879,0.14145278930664062,-1.953864225895286,-5.603725640524546
125,1.3499267820938359,1.005602438560782,0.34010194245207004,1.3499267820938359,-1.5086135864257812,-0.34432434353305386,0.665500496108712
126,2.3242046982256452,2.1858239969278057,7.53495747831023,2.1364425186000227,-3.179541269938151,-0.13838070129783953,-5.349133481382424
129,0.8510621069504994,0.38557375552324136,6.353958695013216,1.3670276443504694,-0.4384918212890625,-0.4654883514272581,-5.968384939489975
135,2.1825181702170133,1.7576808837568638,3.83888476263211,2.186459394821953,-2.516828155517578,-0.4248372864601495,-2.0812038788752463
136,1.9094571298592202,1.8152337382808186,6.419913745835067,1.914060412349525,2.0413687569754466,-0.09422339157840165,-4.604680007554248
137,2.080711848215218,1.8149753836876827,1.839837344108989,2.1109564139957797,2.6084569295247397,-0.2657364645275353,-0.024861960421306284
141,3.1162768799786242,2.677565867615151,11.561793391816849,3.1162768799786242,-4.155626932779948,-0.43871101236347343,-8.884227524201698
144,4.581858258030713,3.2495923214828832,2.0232533853299555,4.581858258030713,4.898729960123698,-1.3322659365478295,1.2263389361529278
149,2.493286730822721,0.44875064479730803,2.5467597162656292,2.493286730822721,-1.088226318359375,-2.044536086025413,-2.0980090714683213
157,2.054862838936043,0.3203100371522985,6.6981969553909275,2.2524971821087925,-0.3277435302734375,-1.7345528017837444,-6.377886918238629
159,0.9369469578881668,0.3325019803713518,14.437159184231058,0.9497868259856705,-0.18085784912109373,-0.604444977516815,-14.104657203859706
160,1.3557737653310271,0.2990529042008137,19.46656626337971,1.3557737653310271,-0.1805633544921875,-1.0567208611302135,-19.167513359178898
162,0.662217129096162,0.30944393197803266,16.501729106139745,0.662217129096162,0.22913360595703125,-0.3527731971181294,-16.19228517416171
168,1.4939480443000195,0.12987698386362875,2.564995622394543,1.610667878125767,-0.8280169169108073,-1.3640710604363908,-2.4351186385309145
169,0.8769887906717786,0.5965323932074638,12.991964085860848,0.8769887906717786,-1.0063858032226562,-0.28045639746431483,-12.395431692653386
176,0.33555158096083654,0.1986246608957948,9.257137687551962,0.33555158096083654,-0.041684468587239586,-0.13692692006504173,-9.058513026656167
177,0.7604077200923406,0.26627837927111553,12.219705444745541,0.7604077200923406,-0.3008819580078125,-0.49412934082122506,-11.953427065474425
181,1.4645781065541488,0.10786456821343793,5.3276881857416205,1.4645781065541488,0.5412470499674479,-1.3567135383407107,-5.219823617528182
182,1.7914595205052484,0.5713853318961243,9.333542586562675,1.7914595205052484,0.5911521911621094,-1.2200741886091242,-8.762157254666551
188,0.2913597475757622,0.4167080168700369,2.1526652933592714,0.2913597475757622,-0.20341110229492188,0.12534826929427467,-1.7359572764892346
204,0.9453373155846942,0.3979299903618793,2.927542168156904,1.097290865147251,-1.7851798317649148,-0.5474073252228149,-2.5296121777950247
207,1.1440302634319133,0.6844347134898268,2.9591603561324096,1.9552957971613574,1.4347985007546165,-0.4595955499420865,-2.274725642642583
208,1.5435145648766941,0.8939502722531202,3.3676141168447047,1.5435145648766941,1.0704269409179688,-0.649564292623574,-2.4736638445915844
217,0.564751324348088,0.9247657502138463,4.252548661474935,0.6471650067181879,-1.3243269486860796,0.3600144258657584,-3.327782911261089
220,0.1824186290907035,0.55335379219704,4.787350118378793,0.1824186290907035,0.8328590393066406,0.37093516310633645,-4.233996326181753
221,0.9524017226782132,0.18856849566530348,4.197693239251416,1.135448196796687,-1.4098014831542969,-0.7638332270129098,-4.009124743586113
222,1.0409342796493284,0.422456631285439,5.172809734036418,1.0409342796493284,-0.025896708170572918,-0.6184776483638894,-4.75035310275098
227,1.366188566690685,0.6674581247581811,1.3744769692693384,1.366188566690685,-1.1039225260416667,-0.6987304419325039,-0.7070188445111573
228,2.5169468692064094,0.7931673035303425,9.373885226319375,2.5169468692064094,-1.6753646850585937,-1.7237795656760668,-8.580717922789033
236,1.4118039418549837,0.24498627747437166,9.01429732776349,1.431702071298043,0.3646937779017857,-1.166817664380612,-8.769311050289119
240,1.5368115657714767,0.8314218207731954,10.474437336634892,1.5368115657714767,-1.5619373321533203,-0.7053897449982813,-9.643015515861697
251,1.06031904194481,0.43682062397220506,22.531911615317714,1.06031904194481,-0.4422556559244792,-0.6234984179726051,-22.095090991345508
253,2.9091073882517358,1.9960709272383936,20.327666695998865,2.9091073882517358,2.846302032470703,-0.9130364610133421,-18.331595768760472
254,2.0254210265835177,1.4598462362426692,22.041360066900104,2.0254210265835177,1.6169265747070312,-0.5655747903408486,-20.581513830657435
262,1.2154090749773039,0.5456279105030302,23.547898898116774,1.2154090749773039,-0.7997919718424479,-0.6697811644742737,-23.002270987613745
269,1.0894528819728806,0.18709403554722892,0.5322927868517242,1.0894528819728806,0.08356857299804688,-0.9023588464256517,-0.3451987513044953
270,1.2636659632056897,1.173443364075261,2.7137221413746375,1.2636659632056897,-2.3925043741861978,-0.09022259913042863,-1.5402787772993765
276,1.2591597419747942,0.1992137680718603,5.21742540551996,1.2591597419747942,1.0285472869873047,-1.0599459739029338,-5.0182116374481
277,0.33276286724203774,0.30139047274415615,3.0042931507361588,0.8135016393289557,0.2724728584289551,-0.031372394497881595,-2.7029026779920025
279,1.880294754438531,1.5995793915206897,6.814214931031888,1.880294754438531,0.3035717010498047,-0.28071536291784116,-5.214635539511198
285,1.4620266872449605,0.30871822846770014,3.5206901623054367,1.4620266872449605,-0.6211528778076173,-1.1533084587772604,-3.2119719338377366
286,1.4554403211923181,0.5789806845465543,10.742776019382418,1.4516010841736993,-0.9758415222167969,-0.8764596366457639,-10.163795334835864
290,0.8183558405863155,0.9950840003807322,6.355942413623223,0.8183558405863155,1.61767578125,0.1767281597944167,-5.360858413242491
295,1.324898593434896,0.21404934030663048,3.813425587866635,1.324898593434896,0.26004981994628906,-1.1108492531282654,-3.5993762475600044
303,1.7029280147422785,1.2481218791648618,10.585382494255214,1.7029280147422785,-1.9475733439127605,-0.45480613557741667,-9.337260615090353
306,3.8294613021444235,1.5924668828861985,3.265088732030918,3.8294613021444235,-1.817186991373698,-2.2369944192582247,-1.6726218491447196
328,2.3407766256523055,0.4745103133727451,2.5330390330149033,2.3407766256523055,0.712066650390625,-1.8662663122795604,-2.0585287196421582
330,2.2725339074850917,1.2745822389768362,6.988236741395547,2.2725339074850917,-2.1196460723876953,-0.9979516685082555,-5.713654502418711
334,1.0702026504841669,1.3244991090257483,5.223665165236942,1.0702026504841669,0.8141212463378906,0.25429645854158145,-3.8991660562111936
340,2.515746068991192,1.086274254187331,5.396037528426396,2.515746068991192,1.3462371826171875,-1.429471814803861,-4.309763274239065
352,1.322741960341211,0.44831487656684116,7.437006536181284,1.322741960341211,-0.7176106770833334,-0.8744270837743697,-6.988691659614442
353,0.4072288617468291,0.24022414441887896,4.3553919177686895,0.4014454362104533,0.4313039779663086,-0.16700471732795014,-4.11516777334981
367,2.9232400567994254,0.36571677927863144,3.546267984003199,2.9232400567994254,-0.268768310546875,-2.557523277520794,-3.180551204724568
374,0.3305637801815815,0.4210106582144855,0.6456295057140559,0.3305637801815815,0.8456916809082031,0.09044687803290402,-0.22461884749957034
375,0.8650338127591638,0.9487938969698083,7.931016567968214,0.9047257479113527,1.2973696390787761,0.08376008421064451,-6.982222670998406
383,2.7164325451261244,1.2295608933965194,4.0053624639287415,2.792437626879011,1.8352991739908855,-1.486871651729605,-2.775801570532222
389,0.9131731449062818,0.3182642144504571,8.526125319204295,0.9281569432541382,-0.08844248453776042,-0.5949089304558246,-8.207861104753839
390,0.8934764355505603,1.1475161110850638,17.997943238075933,0.8879498631120666,1.1825277155095881,0.25403967553450346,-16.85042712699087
393,0.7235164819071495,0.38551114878572484,18.25067156126608,1.1796374548075401,-0.5941268920898437,-0.3380053331214246,-17.865160412480357
400,1.2693931768111462,1.1247451113833768,9.276498286244598,1.2693931768111462,-1.2294896443684895,-0.1446480654277693,-8.151753174861222
402,0.1043749074529832,0.05459140878632169,0.0,0.1043749074529832,0.257232666015625,-0.049783498666661506,0.05459140878632169
411,0.3467805242867869,0.4045523490890572,5.126764750299526,0.3467805242867869,0.8026580810546875,0.05777182480227028,-4.722212401210469
415,1.324865453257411,0.32746307505754113,4.724193503474125,1.324865453257411,0.27508544921875,-0.9974023781998698,-4.396730428416584
416,0.4041611387613088,0.32294424232773783,2.676412493949171,0.4041611387613088,0.14293416341145834,-0.081216896433571,-2.353468251621433
422,1.7534902788365954,2.353486963285523,7.968589501949662,1.7534902788365954,-0.9681072235107422,0.5999966844489277,-5.615102538664139
428,1.5944364423321378,0.9475751260696686,8.127530618685432,1.5944364423321378,-0.9928512573242188,-0.6468613162624691,-7.179955492615763
442,0.6356322589871215,0.21034447251968022,1.161970274943718,0.6191663466357905,0.26603807721819195,-0.42528778646744125,-0.9516258024240377
447,0.4918356773208144,0.11080528235781109,8.212572713414827,0.5505745947769841,0.06761474609375,-0.3810303949630033,-8.101767431057016
450,0.9625194750486675,0.21316306187626013,7.116974705096657,1.0788257629628475,0.016033717564174103,-0.7493564131724074,-6.903811643220397
462,0.9165031465280448,0.2069399339811463,0.775638519898664,0.9165031465280448,0.33715248107910156,-0.7095632125468985,-0.5686985859175177
468,1.2277443216942476,0.38814604255940816,4.783932006728591,1.2277443216942476,0.17360839843749998,-0.8395982791348395,-4.395785964169183
478,1.099370926134548,0.21796121330404702,1.6122275501563808,1.099370926134548,1.6063079833984375,-0.8814097128305008,-1.3942663368523338
480,0.29034817198219276,0.6578389452166926,5.708621750779759,0.29034817198219276,1.5883216857910156,0.36749077323449986,-5.050782805563067
483,1.1827437713489597,0.25897777820171564,0.34665433979921373,1.1827437713489597,0.7177009582519531,-0.9237659931472441,-0.08767656159749809
486,0.8674528116343297,0.20798791871732292,5.440092004004734,1.0382980460445632,-0.09536465731534088,-0.6594648929170068,-5.232104085287411
488,2.8516968742468625,0.7316888753923448,6.482509274083568,2.8516968742468625,0.7481765747070312,-2.1200079988545175,-5.750820398691223
493,1.214454182464169,0.3749503448561494,6.136451909111213,1.4463972049652745,-0.5263200239701704,-0.8395038376080196,-5.761501564255064
494,2.7167127438699343,0.6655156109243959,1.0030896459379486,2.7167127438699343,-1.2678629557291667,-2.0511971329455383,-0.33757403501355265
504,1.4077358865948437,0.46186114222076147,2.707803729447305,1.4077358865948437,-0.2974980672200521,-0.9458747443740823,-2.2459425872265433
510,1.8834780558711124,0.5326273125734536,1.5117298560755832,1.8834780558711124,-0.15552139282226565,-1.3508507432976589,-0.9791025435021296
516,2.376075380890815,2.020060630591543,8.039300705660754,2.151391440456914,-2.6448745727539062,-0.3560147502992721,-6.019240075069211
519,1.4046768870812356,0.15607593882463713,1.1159765460836715,1.4046768870812356,0.5130615234375,-1.2486009482565985,-0.9599006072590344
525,0.9439387064922662,0.43561535225182546,6.023482366736335,1.3764714232843913,0.16199669471153846,-0.5083233542404407,-5.58786701448451
530,3.1960940954622985,2.298693483466689,8.032073178104914,3.295740714983005,-3.4039757468483667,-0.8974006119956095,-5.733379694638225
543,1.6972408209773182,0.7408675397807698,1.8459669405015984,1.6972408209773182,2.013744354248047,-0.9563732811965484,-1.1050994007208286
548,2.0862209778650103,0.8346376862017417,1.5794443598199859,2.095044948449187,-0.7870950698852539,-1.2515832916632685,-0.7448066736182442
560,0.22196178895885382,0.611520244813073,0.9909120592220565,0.22196178895885382,1.0428466796875,0.38955845585421917,-0.3793918144089835
576,0.895488616296416,1.3163753682616495,4.758490134108238,0.895488616296416,-1.7583058675130208,0.4208867519652335,-3.442114765846589
