post_huber,GT,slope_30m_deg,length,GT_elev,post_huber_elev,slope_30m_deg_elev,slope_diff_huber_elev,slope_diff_30m_elev
1.2972020014486856,0.5418839828751534,3.0362530226907727,138.033,1.3055080615051615,3.1256627603589675,7.321584051158943,-1.820154699,-6.01607599
1.5597780571797601,1.2341955817534744,2.175041594437888,86.275,1.8587179875852502,2.3492673700310185,3.2767144088487816,-0.490549382,-1.417996421
1.958677727,1.5513875505954546,4.639053700871574,137.996,3.7374063635093475,4.7192835766974275,11.197568875888031,-0.981877213,-7.460162512
0.5117461498423984,0.11692642088297038,3.869869329865518,79.64,0.1625256374103867,0.7113359396246882,5.387236341525376,-0.548810302,-5.224710704
2.5848195957146243,2.4846852100780166,2.133170500283828,86.149,3.7382758748708076,3.8891313986862306,3.2088831744180624,-0.150855524,0.5293927004527452
1.6858202731607845,1.1887446504260282,1.0004741960301955,80.116,1.6624459053381804,2.357942708741912,1.3990932465172183,-0.695496803,0.26335265882096204
1.7961161381433937,1.2827426689059824,1.941517029885998,135.012,3.0231649792462165,4.233762064648343,4.576750246858264,-1.210597085,-1.553585268
1.969665430440624,1.4030513938930902,3.905018757954019,273.028,6.687209914680921,9.389622810364257,18.63720858552937,-2.702412896,-11.94999867
0.6699894888274437,0.2488539031462693,4.650007635390412,79.353,0.34465763654824827,0.9279583898795377,6.454303178490102,-0.583300753,-6.109645542
1.2376952187312393,0.6598136820724516,2.5193161684622285,84.087,0.9683820742750107,1.8167179179263104,3.6997204776708905,-0.848335844,-2.731338403
2.1912314633747587,1.688222587659157,4.510600745030639,272.564,8.033434868372433,10.429078225376314,21.501994334870165,-2.395643357,-13.46855947
2.6848046852796554,0.23363538391519253,2.1959567502138695,81.618,0.3328161099732568,3.8273135360950596,3.1296791836757905,-3.494497426,-2.796863074
0.38575169580459345,1.0080273519881386,3.8566288724545785,80.432,1.415218065924473,0.541527656,5.422139311444749,0.873690409,-4.006921246
0.553873482,0.62139916,8.719443941465597,86.209,0.9350130340916791,0.8334011135618311,13.221773306773635,0.10161192052984802,-12.28676027
1.031259354500258,1.3851154369737804,3.1718975157406515,80.922,1.9566563661492269,1.456661956625351,4.484428518077887,0.49999440952387597,-2.527772152
1.8270269107150046,0.4639968507016694,5.910547145157636,87.48,0.7084523886766062,2.790476189122321,9.056454408390547,-2.0820238,-8.34800202
1.115557095081602,0.5004627463879929,15.317389470015863,82.185,0.717881443,1.6003560391326574,22.510084235730897,-0.882474596,-21.79220279
1.9304815431176108,1.5538377801109453,13.194900254783484,88.02,2.3876512773786156,2.9668034226062394,20.636639370195166,-0.579152145,-18.24898809
2.5987722254954067,2.3911551698881452,7.3227689368433735,85.992,3.5908347130231575,3.9030273749877735,11.05056442607581,-0.312192662,-7.459729713
1.1663431068517884,0.9954013967468465,3.9714015748679654,180.485,3.135887135626233,3.674555430020524,12.53021661990751,-0.538668294,-9.394329484
4.128192444759936,1.6164819447614363,6.211083617063267,124.217,3.505455931530247,8.965422592272171,13.518597850052235,-5.459966661,-10.01314192
1.1874899830714756,0.8525354004909683,2.535267291243105,245.24,3.6493301011402446,5.0834764974754005,10.858654143501399,-1.434146396,-7.209324042
1.5103127215934087,0.3313914029126284,5.124184723495901,80.763,0.46712799011621814,2.129400229023855,7.242268864617385,-1.662272239,-6.775140875
1.532893979652479,0.13745568104829217,3.7677692816845636,86.988,0.20868932797556172,2.327836474971189,5.728588993560153,-2.119147147,-5.519899666
1.8776623281581086,1.3063083680461474,6.000344901798448,107.574,2.4530457821279126,3.5266120687490674,11.307137718610461,-1.073566287,-8.854091936
1.113541150647716,0.4030983718253816,3.7508815175920165,178.132,1.253249445,3.462424145,11.678140523866956,-2.209174699,-10.42489108
1.4165799656230877,0.5423581059256963,5.277126463,88.271,0.835592477,2.182855630830813,8.153111722260462,-1.347263154,-7.317519245
2.195689700864879,0.24182547496959275,5.845551115494139,75.368,0.31810389487544977,2.889668303929512,7.716144229172531,-2.571564409,-7.398040334
1.3499267820938359,1.005602438560782,0.34010194245207004,96.327,1.6908158755036988,2.269948406387617,0.5717940286561621,-0.579132531,1.1190218468475366
2.3242046982256452,2.1858239969278057,7.534957478,171.363,6.540641978359007,6.955159661819896,22.66674016958034,-0.414517683,-16.12609819
0.8510621069504994,0.38557375552324136,6.353958695013216,237.258,1.5966592973607514,3.524450610432894,26.41971336226779,-1.927791313,-24.82305406
2.1825181702170133,1.7576808837568638,3.838884763,246.775,7.572771024647624,9.404734129273804,16.55900195406997,-1.831963105,-8.986230929
1.9094571298592202,1.8152337382808186,6.419913745835067,171.551,5.436864584764675,5.719279982449875,19.302904646169193,-0.282415398,-13.86604006
2.080711848215218,1.8149753836876827,1.839837344108989,244.925,7.761157947844011,8.898430217008274,7.867544742,-1.137272269,-0.106386794
3.1162768799786242,2.677565867615151,11.561793391816849,82.241,3.8461146669041164,4.4774456835815934,16.82450904154027,-0.631331017,-12.97839437
4.581858258030713,3.2495923214828832,2.0232533853299555,86.932,4.935736151971965,6.966679613235255,3.0710570502217016,-2.030943461,1.8646791017502635
2.493286730822721,0.44875064479730803,2.5467597162656292,50.377,0.39456961212158204,2.1935934940053508,2.240700395234426,-1.799023882,-1.846130783
2.054862838936043,0.3203100371522985,6.6981969553909275,150.433,0.8409991489218814,5.397461831070344,17.667016722275584,-4.556462682,-16.82601757
0.9369469578881668,0.3325019803713518,14.437159184231058,253.813,1.472957925814159,4.150925607224457,65.34359354203308,-2.677967681,-63.87063562
1.3557737653310271,0.2990529042008137,19.46656626337971,129.856,0.677784069,3.0733192940745666,45.899162102407615,-2.395535225,-45.22137803
0.662217129,0.30944393197803266,16.501729106139745,57.165,0.3087406178325615,0.660735018,16.934920985366286,-0.3519944,-16.62618037
1.4939480443000195,0.12987698386362875,2.564995622394543,162.381,0.3680827945359757,4.2349326714137945,7.274270927359245,-3.866849877,-6.906188133
0.8769887906717786,0.5965323932074638,12.991964085860848,80.52,0.8383605972966163,1.2325629079475893,18.577612021943924,-0.394202311,-17.73925142
0.33555158096083654,0.1986246608957948,9.257137687551962,79.923,0.2770665221823099,0.4680727942791021,13.026507884989595,-0.191006272,-12.74944136
0.7604077200923406,0.26627837927111553,12.219705444745541,139.908,0.6502179396354123,1.856914607717378,30.299551204204388,-1.206696668,-29.64933326
1.4645781065541488,0.10786456821343793,5.3276881857416205,92.096,0.17337938491051572,2.354644119107799,8.588378020347934,-2.181264734,-8.414998635
1.7914595205052484,0.5713853318961243,9.333542586562675,91.952,0.9170268087578323,2.8759882249481836,15.112997648303086,-1.958961416,-14.19597084
0.2913597475757622,0.4167080168700369,2.1526652933592714,79.085,0.5751895666566941,0.4021654727770713,2.972709089004334,0.17302409387962275,-2.397519522
0.9453373155846942,0.3979299903618793,2.927542168156904,274.107,1.9037554005357662,4.522969992711344,14.01776661007959,-2.619214592,-12.11401121
1.1440302634319133,0.6844347134898268,2.9591603561324096,271.015,3.2376014270320845,5.412101468003977,14.00959516776463,-2.174500041,-10.77199374
1.5435145648766941,0.8939502722531202,3.3676141168447047,80,1.2482913418738217,2.1556744025419188,4.707498452394004,-0.907383061,-3.459207111
0.564751324,0.9247657502138463,4.252548661474935,270.478,4.365950075495018,2.6661257974639616,20.112085485965157,1.6998242780310564,-15.74613541
0.1824186290907035,0.553353792,4.787350118378793,79.182,0.7647513077571697,0.25210095432803664,6.631493401942378,0.5126503534291331,-5.866742094
0.9524017226782132,0.18856849566530348,4.197693239251416,213.477,0.7025854684962317,3.5488580896020907,15.668129904240411,-2.846272621,-14.96554444
1.0409342796493284,0.422456631,5.172809734036418,79.781,0.5882566494883934,1.4495991966865587,7.2224670061782605,-0.861342547,-6.634210357
1.366188566690685,0.6674581247581811,1.3744769692693384,90.475,1.0540218879329528,2.1577390643458725,2.1708346595922183,-1.103717176,-1.116812772
2.5169468692064094,0.7931673035303425,9.373885226319375,127.479,1.764853101919225,5.6036312757989934,21.04432018881524,-3.838778174,-19.27946709
1.4118039418549837,0.24498627747437166,9.014297328,173.425,0.7415381107797605,4.274165838261866,27.512184599713898,-3.532627727,-26.77064649
1.5368115657714767,0.8314218207731954,10.474437336634892,116.527,1.6910476154860639,3.1262861091858203,21.543232657104156,-1.435238494,-19.85218504
1.060319042,0.43682062397220506,22.531911615317714,117.527,0.8960382877495893,2.1752098494104963,48.75798405629455,-1.279171562,-47.86194577
2.9091073882517358,1.9960709272383936,20.327666695998865,63.239,2.2040126333018066,3.2136275036505304,23.42753759804205,-1.00961487,-21.22352496
2.0254210265835177,1.4598462362426692,22.041360066900104,136.389,3.4758243451672732,4.823396721437801,55.21929290939577,-1.347572376,-51.74346856
1.2154090749773039,0.5456279105030302,23.547898898116774,95.984,0.9140836029147544,2.036403505653785,41.83047841058493,-1.122319903,-40.91639481
1.0894528819728806,0.18709403554722892,0.5322927868517242,64.448,0.21044969389891488,1.2255967728469863,0.5987560131224471,-1.015147079,-0.388306319
1.2636659632056897,1.173443364075261,2.7137221413746375,358.054,7.334132607526684,7.898208807268283,16.971342384551757,-0.5640762,-9.637209777
1.2591597419747942,0.1992137680718603,5.217425406,341.476,1.187295039398816,7.505649976442463,31.18146685352437,-6.318354937,-29.99417181
0.33276286724203774,0.30139047274415615,3.0042931507361588,866.951,4.5604263347273095,5.035141273118245,45.50011563669972,-0.474714938,-40.9396893
1.880294754438531,1.5995793915206897,6.814214931031888,130.66,3.648704341219936,4.289452901067762,15.613140020364808,-0.64074856,-11.96443568
1.4620266872449605,0.30871822846770014,3.5206901623054367,118.245,0.6371279090101866,3.017933930709748,7.2750343257649055,-2.380806022,-6.637906417
