slope_1m_deg,slope_30m_deg,slope_diff_1m,post_huber,GT,pitch_diff_1m,slope_diff_huber_abs,slope_diff_huber,slope_diff_30
0.012830737814360504,0.048022593463130835,-1.538281791,1.5511125288743228,0.012830737814360504,0.2708301508575145,1.5382817910599624,-1.538281791,-0.035191856
0.347491176,10.909737569122138,-0.310629848,0.5936010725501676,0.4549703812584668,0.562247298,0.1386306912917008,-0.138630691,-10.45476719
0.3951607036695771,5.2799894649618855,-2.189766079,1.2870224192309567,0.23742199541864772,0.18990802167119603,1.0496004238123091,-1.049600424,-5.04256747
0.25322533798504665,0.6478968775538467,-1.370409528,1.6236348656113362,0.25322533798504665,0.1973857994108279,1.3704095276262895,-1.370409528,-0.39467154
0.12429513218698711,0.6984478664626801,-0.061109738,0.6374982713211972,0.085217796,0.15753427917280682,0.5522804752986915,-0.552280475,-0.61323007
0.032078663,0,-0.686563831,0.7303376079100159,0.18061563037282496,0.3878223564470437,0.5497219775371909,-0.549721978,0.18061563037282496
0.3883877494287141,32.70094562100647,0.24374249684721283,0.6109033046173835,0.35325969028328796,0.5342747049317255,0.25764361433409555,-0.257643614,-32.34768593
0.14089103683728998,0,0.1322318407286905,0.008659196,0.14089103683728998,0.667214432,0.1322318407286905,0.1322318407286905,0.14089103683728998
0.32196831332679315,12.006034181502931,-0.521205642,0.8431739549082619,0.32196831332679315,0.6730196438931995,0.5212056415814688,-0.521205642,-11.68406587
0.090287741,5.584459098010958,-0.204578097,0.8443212049187316,0.2658661814343498,0.6638764353405998,0.5784550234843818,-0.578455023,-5.318592917
0.018931462306549407,1.3293788423944735,-6.615488646,1.7420372940572202,0.3597092978549017,0.084326302,1.3823279962023185,-1.382327996,-0.969669545
0.1991019449580162,0,-0.274680335,0.4737822801124346,0.1991019449580162,0.10898063560839005,0.2746803351544184,-0.274680335,0.1991019449580162
0.24072359207019986,11.857628541865337,0.010852227327580954,0.2298713647426189,0.24072359207019986,0.6759118855272311,0.010852227327580954,0.010852227327580954,-11.61690495
0.4177433597119006,1.4750859426642449,-0.077536588,0.4952799476476906,0.4177433597119006,0.5063670528857558,0.077536588,-0.077536588,-1.057342583
0.2925863682736191,6.769931049608906,0.2854844870133925,0.7017169212855843,0.34098155220899157,0.46952159127149157,0.3607353690765927,-0.360735369,-6.428949497
0.30612798693638277,8.184412727,-0.576732719,0.8828607062117318,0.30612798693638277,0.1675200843526798,0.5767327192753491,-0.576732719,-7.87828474
0.13885246519228261,5.985776276259076,-0.159946994,0.2987994596269364,0.13885246519228261,0.002749097,0.15994699443465377,-0.159946994,-5.846923811
0.2207852274529964,9.130420997079984,-0.068130846,1.2157110884693418,0.147908608,0.4151739274927557,1.0678024808008049,-1.067802481,-8.982512389
0.2315439737648729,1.3479322541920262,-0.58809402,0.7777767058206442,0.4721100096601702,0.3914306397538923,0.305666696,-0.305666696,-0.875822245
0.5436544474324664,0.2742536785952972,0.24449127852141617,1.316595741638616,0.1430659539639759,0.075919653,1.1735297876746402,-1.173529788,-0.131187725
0.4490019803318247,3.678859589377248,0.20182823,0.5147496085013924,0.48883802795397224,0.612609695,0.025911580547420154,-0.025911581,-3.190021561
0.19461410830838619,5.310021121158867,-0.818578939,0.4653889571833721,0.2821745121088864,0.6428666866215824,0.1832144450744857,-0.183214445,-5.027846609
0.1783985004568504,6.954627139482981,-0.371463585,0.549862085,0.1783985004568504,0.1636890278006004,0.37146358478683655,-0.371463585,-6.776228639
0.074352487,21.88040134551996,-0.648577276,0.722929763,0.074352487,0.32896827056736794,0.6485772763743943,-0.648577276,-21.80604886
0.15599840309330276,5.722457133127447,-0.501187242,0.6571856447651058,0.15599840309330276,0.099685842,0.5011872416718031,-0.501187242,-5.56645873
0.27575469192184193,3.5905246765492906,0.24033641581421214,0.5225959151290184,0.3747505931847729,0.19493629646366462,0.1478453219442455,-0.147845322,-3.215774083
0.35381751527280547,1.9456480601947463,-0.904847929,0.9346650211532264,0.2695479601159378,0.5043167859778124,0.6651170610372885,-0.665117061,-1.6761001
0.43395460105037736,5.915567047167228,0.37314469070960216,0.06080991,0.43395460105037736,0.12755048728084611,0.37314469070960216,0.37314469070960216,-5.481612446
0.22022060684427305,4.870661977525054,-0.395011409,0.6395869166220423,0.27393464045686694,0.3522503753201482,0.3656522761651753,-0.365652276,-4.596727337
0.059870229052257556,4.363022104506664,-0.832437504,0.648341121,0.17814768748524606,0.11945475535633981,0.470193433,-0.470193433,-4.184874417
0.306297826,5.471155666449972,-0.340471394,0.6467692197182913,0.306297826,0.3326944834477545,0.34047139359573325,-0.340471394,-5.16485784
0.199250386,0.4229249176769914,-1.21451387,1.3160920747185088,0.1746728489933455,0.3799230982722795,1.1414192257251632,-1.141419226,-0.248252069
0.5120383646888012,6.602412930956614,-1.535835096,1.068084277888702,0.4896878866700104,0.2458315225096771,0.5783963912186917,-0.578396391,-6.112725044
0.7606189114142466,3.0748261065786977,-1.082516092,0.6367334210263815,0.15390507055799657,0.4571865432115347,0.48282835046838496,-0.48282835,-2.920921036
0.39608819913600907,1.1850345614167255,0.3506881908663988,0.045400008,0.39608819913600907,0.11227472257350907,0.3506881908663988,0.3506881908663988,-0.788946362
0.5975524950850264,2.1184836596358507,-1.589618324,1.1372094723579862,0.49802099433161917,0.070996153,0.639188478,-0.639188478,-1.620462665
0.3517548763446451,1.0640611961615953,0.3170574936098135,0.3342324101186794,0.2411202834135354,0.5500115798002542,0.093112127,-0.093112127,-0.822940913
0.49095017780678796,2.3733326915283364,-0.279889601,0.7708397789551809,0.49095017780678796,0.6286302315177255,0.2798896011483929,-0.279889601,-1.882382514
0.3881468824853039,5.521471783267763,0.085445431,0.8813271569625709,0.4527726586857914,0.23117689452563517,0.4285544982767795,-0.428554498,-5.068699125
0.2595399490993335,1.7895485064176022,0.19120600375398966,0.3732530847611684,0.23979683559070353,0.18558768589367147,0.1334562491704649,-0.133456249,-1.549751671
0.3285521758253236,2.0236189311240134,-0.546618835,1.565183899122276,0.4551184523852739,0.3445608962329301,1.1100654467370021,-1.110065447,-1.568500479
0.46046186049674015,14.334446054852158,0.027482760071984746,0.4329791004247554,0.46046186049674015,0.23950457016732235,0.027482760071984746,0.027482760071984746,-13.87398419
0.4676472034730175,5.2242977056583335,-0.12860351,0.5608122233898283,0.3920386412369079,0.088976202,0.16877358215292038,-0.168773582,-4.832259064
0.008347402,7.673820743621709,-0.073259079,0.41313371987821246,0.063069891,0.143740107,0.3500638289486277,-0.350063829,-7.610750853
0.007478602,4.692967384715077,-0.260787776,0.2682663776619945,0.007478602,0.035898096381654324,0.26078777590924646,-0.260787776,-4.685488783
0.4935591174854628,3.6585871493573414,-0.491000043,0.9845591605980606,0.4935591174854628,0.2817900134815565,0.4910000431125978,-0.491000043,-3.165028032
0.20333114592939625,4.760465384,-0.637318611,0.8406497566730177,0.20333114592939625,0.016280975652635005,0.6373186107436214,-0.637318611,-4.557134238
0.19216801776184742,9.733616343974616,-0.056183464,0.2483514816538768,0.19216801776184742,0.040274402,0.056183463892029384,-0.056183464,-9.541448326
0.3293162211378132,2.6740556779408284,0.027880905575584147,0.3014353155622291,0.3293162211378132,0.293480955,0.027880905575584147,0.027880905575584147,-2.344739457
0.4247443805067335,9.837275141,-0.264076787,0.688821167,0.4247443805067335,0.14086841246201648,0.2640767867435005,-0.264076787,-9.412530761
0.30163293821827425,3.647119100922524,-0.050386382,0.859241216,0.35960683194183557,0.4606370035073832,0.49963438398789545,-0.499634384,-3.287512269
0.250423193,1.8637581551808111,-2.291115503,1.032094921988514,0.22832918514250894,0.36947965274811606,0.8037657368460052,-0.803765737,-1.63542897
0.3945091345655981,22.472069753276905,-0.487650194,0.9582931577591188,0.36083285219413863,0.15020815736991988,0.5974603055649802,-0.597460306,-22.1112369
0.4978080878083327,17.123187062692963,-1.014928076,1.5127361634394196,0.4978080878083327,0.020159136,1.014928075631087,-1.014928076,-16.62537897
0.6162906099121973,0,0.4605582940700307,1.3569780470066775,0.3474598634670808,0.28725235577120045,1.0095181835395968,-1.009518184,0.3474598634670808
0.1402171288946859,2.5741931797719326,-1.269856044,1.1922141224725584,0.2083378503691583,0.6715031335722833,0.9838762721034001,-0.983876272,-2.365855329
0.38766332725693425,0,-2.008367639,0.9096166316745254,0.3089306914949353,0.47643155215740846,0.6006859401795901,-0.60068594,0.3089306914949353
0.000207638,1.197792390192601,-1.434902077,1.4351097144694325,0.000207638,0.17970440288748626,1.434902076718665,-1.434902077,-1.197584752
0.038338757,3.5375276536627758,-1.032545643,1.070884400060399,0.038338757,0.3252497675233613,1.0325456432792253,-1.032545643,-3.499188897
0.4080522799489246,1.6804948932172026,-0.148096956,0.8738982308247855,0.25204776900099024,0.5442397676201036,0.6218504618237952,-0.621850462,-1.428447124
0.322279077,3.401328930300497,-1.547109182,1.4155826227076727,0.2916037352459156,0.4818350584881031,1.1239788874617571,-1.123978887,-3.109725195
0.1421823900560666,0.9258326044827984,-1.436155033,1.578337423532647,0.1421823900560666,0.016533891520910338,1.4361550334765805,-1.436155033,-0.783650214
