adjusted_angle_abs,slope_1m,slope_30m,skew_angle,skew_confidence,distance_closest_building,post_huber,GT,slope_diff_huber,difference_1m_estimated,difference_1m_30m
0.081809035,0.1022063869840611,0.2610580411447019,0,15,12.14811525378278,0.081809035,0.1022063869840611,0.020397352299288712,0.020397352299288712,-0.158851654
0.3443240777815856,0.944902873,1.3719873723649791,1.853245485596382,32,12.105746266477729,0.3443240777815856,0.944902873,0.6005787954610025,0.6005787954610025,-0.427084499
3.462334298351046,1.4271086989376425,1.0933677983340957,2.726310993906268,23,8.941637787934779,2.477402704006795,1.8384679276274307,-0.638934776,-0.638934776,0.745100129
0.4801736245185377,0.4787869373958043,0.5650623539724353,1.0511807495437466,23,10.911527688806247,0.4801736245185377,0.4787869373958043,-0.001386687,-0.001386687,-0.086275417
0.1362294024464589,0.9653294789198484,0.7456178547336789,0,19,18.922676034841302,0.1362294024464589,0.9653294789198484,0.8291000764733896,0.8291000764733896,0.21971162418616952
0.3945921048103717,0.5495544510969954,0.167835029,0,44,11.640327093472424,0.3945921048103717,0.5495544510969954,0.1549623462866237,0.1549623462866237,0.38171942225277644
0.1832933606068314,0.6231351637905512,0.6378861177320692,-0.881403997,3,20.200104199985528,0.1832933606068314,0.6231351637905512,0.4398418031837198,0.4398418031837198,-0.014750954
0.3742186820521959,0.067944155,0.1042816935145347,0,8,20.47496664003123,0.3742186820521959,0.067944155,-0.306274527,-0.306274527,-0.036337539
0.251707725,0.5873593000548609,0.5539001572229386,0.7073193685442618,25,11.883305128371433,0.43942805508258603,0.5728776355047339,0.13344958042214788,0.13344958042214788,0.018977478
0.4981555082728041,0.047220233,0,0,18,12.223989963626924,0.4981555082728041,0.047220233,-0.450935275,-0.450935275,0.047220233
0.6556852331316928,0.6321147594236974,0.6722302234041001,0.8100331867922179,102,6.951937634902262,0.6556852331316928,0.6321147594236974,-0.023570474,-0.023570474,-0.040115464
0.2727349155879345,0.8489212808429151,0.8567005086367214,1.5043185949857687,114,8.795718824329814,1.2649826336724563,1.029149738813842,-0.235832895,-0.235832895,0.17244923017712055
0.360691528,0.5492535525683638,0.3027784809113368,0,12,17.368350288225468,0.360691528,0.5492535525683638,0.18856202471459382,0.18856202471459382,0.24647507165702703
3.552200612075988,1.296614658619096,2.871438996,0,27,9.833111143503007,3.552200612075988,1.296614658619096,-2.255585953,-2.255585953,-1.574824337
1.275341518185914,1.1605581364112771,4.603082480164511,-0.931618149,22,8.808996627794732,1.275341518185914,1.1605581364112771,-0.114783382,-0.114783382,-3.442524344
0.8383373780765628,0.8330495198741654,0.935157451,0,19,11.586084929289733,0.8383373780765628,0.8330495198741654,-0.005287858,-0.005287858,-0.102107931
1.472140882335037,1.1374868426100009,0.919945598,0,36,13.005578152273142,1.472140882335037,1.1374868426100009,-0.33465404,-0.33465404,0.21754124422922583
1.2611460581105245,0.5754189466077255,0.3498088788724949,0,57,8.450884274101837,1.62156629,0.869206557,-0.752359733,-0.752359733,0.5193976780537071
0.9759555716247584,0.043505565,0.441603967,0,37,12.23522859105302,0.9759555716247584,0.043505565,-0.932450007,-0.932450007,-0.398098402
0.1630938147836269,0.4003263544652714,0.2799881712662531,0,53,10.93887519211513,0.1630938147836269,0.4003263544652714,0.23723253968164448,0.23723253968164448,0.12033818319901829
3.490801167144739,1.2281998188507794,1.6459072703408106,-0.622755687,1,19.96816148993497,3.490801167144739,1.2281998188507794,-2.262601348,-2.262601348,-0.417707451
2.590941265978961,0.3471150737535234,0.4909383396808811,3.6607699616417975,18,7.520165909188025,2.590941265978961,0.3471150737535234,-2.243826192,-2.243826192,-0.143823266
2.348528180247105,0.5216954662250568,0.5138641555810163,-0.787187345,10,12.431695549524033,1.305321885640909,0.720082864,-0.585239022,-0.585239022,0.20621870826678068
0.2799239359411589,0.012899495,0.1498052870111134,0,24,11.267175982229404,0.408186115,0.19350048333245218,-0.214685632,-0.214685632,0.043695196
1.8494594165220124,1.179827622079001,2.241969309012169,-0.881403997,35,9.781581807,1.8494594165220124,1.179827622079001,-0.669631794,-0.669631794,-1.062141687
1.046387546080938,1.2322019752556794,3.676599482812589,-0.966205319,72,5.440473710030664,1.046387546080938,1.2322019752556794,0.18581442917474145,0.18581442917474145,-2.444397508
