skew_confidence,correction_applied,corrected_filename,road_slope,road_intercept,road_angle,road_area,perspective_angle,diff_1m,slope_1m
16,TRUE,D7KIOcOlEVR_M3Y6iBXv8w_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.061501573,772.9425374859726,3.5193477613321567,198864,90,-0.40898102,3.172921638
66,TRUE,BV6CFTokorybUlbrJCwfTQ_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,-0.08295416,816.2103711311689,-4.742065788,211716,270,0.38635430476471555,5.128420092
25,FALSE,,0.000282393,704.0648603940695,0.016179922,281414,270,0.43280384569630154,0.448983768
21,TRUE,H4l9t39rtfyuiMzoADNj5g_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.016928104,790.3792623682052,-0.969816261,215386,90,0.4594781944843582,1.582906045
16,FALSE,,0.004928245,788.5846662715651,0.2823653474957222,105818,90,-0.377160789,0.0693851
30,TRUE,e9YXuEoZxUvg3wQfmCHBaA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.086262306,726.5895672172632,4.930261249973003,229665,90,-0.282449116,4.354626039
40,FALSE,,-0.007937699,606.400241,-0.454787119,309677,90,-0.132675257,0.151067953
115,TRUE,SOJGGl678bRG2H-hxkunpQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.005194436,778.2067360824981,0.2976165654407556,222295,90,0.3074771421203546,0.561445435
19,TRUE,UHz7rJG8Hc38_jPcS-JGVg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.071853066,828.9160085287236,4.109814309447838,74210,90,-0.187084429,3.92272988
61,TRUE,RWx7_ldprLBpc-IpKxg3lg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.074984047,902.6387246,-4.28824439,154003,90,0.11401494415644198,4.61337965
8,TRUE,IqGq3lkbwLgd-re1e--u8A_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.054573769,782.7408060218818,3.123747926,173856,90,0.17615363280423768,3.280453246
3,FALSE,,0.023590245,590.8868911117067,1.3513708100220423,13292,270,-0.399131593,0.95223922
5,TRUE,kZOMRSyT3_7bibTtro49aQ_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,0.072557635,771.1758809316121,4.149973769721679,45704,270,0.36078501147557596,4.510758781
85,TRUE,uOJtGdfo5vODEN_6RDwZjA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.000254889,806.7665728732728,-0.014604066,192375,90,-0.231151273,0.950052338
9,TRUE,pApMIcYZuE_Ctd3SR4kB9w_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.1258700285934746,705.5337547480835,7.174093141019136,159293,90,0.2237634981184291,7.5149069
23,TRUE,agofjxQ87Wq-9j5upKErcA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.066383902,740.5709362535584,3.7979450030718778,153243,90,-0.399644191,4.05620729
36,TRUE,JGjpQNuGwh--81Yuy0Yrwg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.000758975,775.1206323711252,0.043486064,223767,90,0.4995802304098369,1.827393737
